nome_produtora,sk_company_id
Universal Pictures,e17419bca33c2819ae6a261f7b854e3e63e827a109bdbe3229da95179d43d9a8
Enlight Pictures,f8e412750a4fd01adb773c05ed12d8c8f4f0c0136f586cfa085f47f29cae3498
Novo Pictures,6a291db141ec3ec89fa9bd09032c1737b2a4f27a46cb9778b7da12321da38d67
The See,b6c451b12e51bade9f4d56d2d1deedd63cb714ba81512425724ae59d0b32c129
Pandora Film,55790254a099a4d9733823d90d01261cb4f900ecf1e417042d62d76846b0fb38
Sweet Films,d43091601bd40e206eff253bd85dd5c9c0006dca694a1b701a61bea536d0d9c0
Zik Zak Filmworks,ecca5d5e821a4b186e19765bf2f082f80de498ef4329ce804c74f15722b99177
Night Hawk Productions,162c62f65f25ed47c8cc29d973b0b7bd0cf297d132d4ebe52b1296bec91c5dec
Art Specialty Institute,b6f2672661c86290ba5dcf283b42a789a33c30238f7efe7d18fb84350ee738ac
Srf,ac6291a3926ce2dd69dd53b52200336849cf6837534789450954a3c3f63104bb
Vertigo Entertainment,83ac207551fa9b260ae14c58dc834957423cf57bf0a374e19a83248c726d64df
Kirk Shaw Productions,5d32c5b03f0a97d63e43846d8324c21361509cfd93444f495a82669d9267d86f
Instituto Mexicano De Cinematografía,310afda7f70499b34bba323272dd7c3f334fe678135eb8658789d3d6597fdb6d
Skyline Entertainment,e733d1fe8e762e2598107941686e498328d081d90e21fd4c8de2f92afcc655a6
Rialto Distribution,a3367324b86e01973d60aac4bad268334c7ae9a75ae94069b5f7058536aa6f17
Dimago,700fdd39863dd5ebbf6629d555d7b660b5c2d40c8fc99d674ff240de92f9b81f
Team 2 Entertainment,bff6581e9abff14a5b0a8f0f21377897e269e29b3384efb067df8d215c0f9cad
Sacromonte Films,2e9b2585ddec33ef60d7de2549512f605c3c9fd0766855c5f1af1e1913bd15f1
Europoly,3acc4e6b163ff483a7ac055c91feb8f1ff56c534e405cdc603df348485579bff
Toward Infinity,dbce017e92ffa692f440e74dec75c4b4f8b6eb16379882132aff5108bd063509
Screen Yorkshire,98c27660030e161eeef396d1bd45853e2f17884cba29b81b1c0f8f25d052e797
Horror,271a22f75d73e13fa558d991442ecde8d75a34a0b9f6216d44b116f8612c82dc
Nordisk Film Denmark,1087fe3fa433d20d75ebc345f6ca75765055990dae01e2e49a8a328c20cbf286
Fassb Filmproduktion,535d76446d9ffc0ca70df2905aba4993ca73a2274d5cfd4bb850b3cc62be058a
C More Entertainment,f8e6fce8a9a3c08410ef675825acccb3b3a0babb1285ff5cb0081d1b86b86cee
Phototaxia Pictures,9f0af27c5628dabff909481ae9190779686030e30eac45dff720d873927fdcc4
Sunset Produzioni,c8db9bcaa5f15d13fab3bdb2e3de2296672f22d21a86a77b42d388398d9403de
Pathé,974a6a3a24a2ece46a1fd04985a570cdb7af3316b442295e104bb7912fb2bc48
Rebel Pictures,023c8aa77f2996eba9d95e2bf737a33169a63b78152daa67fa7c7b2622520275
Les Films Du Premier,0d48f4a231aaf27afd7d622f0e9eed1f8e2bffbcf60ece28ca2fb4d37551345d
Trident Arts,6c994f3158292f243ef082f05c44cf6a0d9d0d36f73067b0ce9446f419c5f145
Warrior Films,1f42810611decdaf6a16133f25f5c589d976472b72dbb76eff8fcb38859e7834
Filmes Do Gajo,09c1f861df78ec12c39762307d96cd8cd912c2ba59e9cd460790a62555b85174
Arthood Films,9e6d473a82d7a75f0999984ffdd6600b27181b2837d86fb98a17ff8684bfb0f4
