nome_genero,sk_genre_id
Horror,271a22f75d73e13fa558d991442ecde8d75a34a0b9f6216d44b116f8612c82dc
Western,d7d2f0ffb02cf5f91acf2010f88656db336d9e293f80d504b1d3dac08aa17502
Comedy,85f1c8c8e324b6be99b13732edd1770eb0d200d15becbd659cc47ff5e060ac43
Family,bd2d677b2ed4381b48bb1d0841052c6d076e7d634d5052e85dcbe0b8a0dedd80
Romance,3bc3567a7fc6511a85072520dc1bdb95a732c4aee93a6533d53954f39124d7c9
Documentary,43f1fc2390a440781ffc1359e14ecb8389bfaaf8319bbe09f291a3872ea49bb9
Science Fiction,35624b8800fae3fd49027ffc8d2a4e4bd697a0166c97ec564b5ea19b10b242dd
Fantasy,542855513e4f74d08a92352680c339d82e2ae347fb021a7128c7f4146c40d295
Music,6eb00b4b2614a144d41ccdf709017a675953fae2df6cfd6b397bd9e4d8708461
Thriller,9360404e4f35ac209099b0fce8615971c8e89d2ab06348841d708bc3f20d28e3
Action,64cff1319d2fd2cbb7a1e84ccecf22c1cc07b24435cdb522f8c0aa525d6002a6
Crime,22611ceccd0b4d14703ccd4eaab3208ffc03d2c80d38655023b622e50d0466fe
Adventure,9a3c16424750cbde029c47e059f219dc64d8943ac4073a1cc5bc9accd979fc17
History,0e769600933790607b2a13b33ddfade0fa17810eb62c3b28ee23e59516516491
War,be8816dbd8b8aa53557ba5f25f5295b1ce2cf829d42d9256024b0698e7654f0d
Mystery,9ed9b84aa0a7d0ba2089f52a0d93c4633ab780b01a7aa627de0a4238f33712a0
Drama,da72bf5bbca4ca33b822955cfbbf9e5b84e4e0fa5e5e68cf9d30054109fac58b
Tv Movie,852a56bfaf803f454ce5e6380225fe1770c1e567bbb32cf335c99385c3930025
Animation,1dd10f244a62771bcca9df74a9bc7d13363df8d3cd69ee07f66c2b1666b256ff
